epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,7226.27,1.23137,1.14348,1.29715,0.19897,0.04739,0.03268,0.01256,2.49232,4.11936,2.56636,0.000155078,0.000155078,0.000155078
67,7314.37,1.15429,0.98937,1.22444,0.19637,0.04648,0.033,0.01232,2.55592,4.14173,2.6176,0.000150771,0.000150771,0.000150771
68,7401.22,1.18173,1.06961,1.27922,0.21443,0.06423,0.03488,0.01163,2.54012,4.2686,2.58627,0.000146464,0.000146464,0.000146464
69,7490.3,1.18466,1.07519,1.28872,0.22603,0.04739,0.03391,0.01137,2.50988,4.27066,2.58526,0.000142158,0.000142158,0.000142158
70,7577.7,1.17928,1.03604,1.26277,0.20307,0.05421,0.02966,0.00952,2.52386,4.17207,2.61275,0.000137852,0.000137852,0.000137852
71,7666.65,1.1411,1.02056,1.26508,0.19999,0.05421,0.03094,0.00986,2.52794,4.16576,2.62748,0.000133545,0.000133545,0.000133545
72,7754.19,1.15904,1.02399,1.25564,0.29758,0.07641,0.03308,0.01087,2.58489,4.28765,2.67663,0.000129239,0.000129239,0.000129239
73,7840.8,1.16352,1.0136,1.22719,0.33711,0.07942,0.04094,0.01279,2.5346,4.36991,2.60409,0.000124932,0.000124932,0.000124932
74,7928.02,1.1103,0.96147,1.19075,0.39431,0.08528,0.04321,0.01599,2.67333,4.16698,2.75335,0.000120626,0.000120626,0.000120626
75,8015.15,1.17196,0.99039,1.24558,0.40329,0.08111,0.04064,0.0169,2.72415,4.22262,2.7155,0.000116319,0.000116319,0.000116319
76,8103.31,1.08409,0.9911,1.2459,0.22796,0.05192,0.0385,0.01481,2.77562,4.22865,2.68379,0.000112013,0.000112013,0.000112013
77,8192.37,1.12288,0.94429,1.19588,0.31149,0.06096,0.04241,0.01744,2.80698,4.16719,2.70459,0.000107706,0.000107706,0.000107706
78,8280.41,1.05791,0.94781,1.2129,0.3989,0.06326,0.03948,0.01556,2.79996,4.13818,2.72041,0.000103399,0.000103399,0.000103399
79,8368.6,1.08905,0.94516,1.21433,0.40208,0.0578,0.04029,0.01532,2.80322,4.16722,2.67422,9.9093e-05,9.9093e-05,9.9093e-05
80,8455.7,1.00774,0.89415,1.1496,0.3295,0.0669,0.04398,0.01571,2.79942,4.13384,2.64421,9.47865e-05,9.47865e-05,9.47865e-05
