epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,17927.7,0.83983,0.79519,1.12688,0.3714,0.16528,0.15061,0.09788,2.15495,2.76226,2.02833,0.000202449,0.000202449,0.000202449
56,18227.5,0.8541,0.83819,1.13774,0.34638,0.16988,0.14459,0.09504,2.20945,2.81577,2.08559,0.000198142,0.000198142,0.000198142
57,18525.5,0.84893,0.83951,1.12123,0.47739,0.16235,0.16511,0.10349,2.24078,2.78904,2.13691,0.000193836,0.000193836,0.000193836
58,18825.8,0.82281,0.78673,1.11657,0.44435,0.16608,0.1645,0.10888,2.15027,2.76227,2.08336,0.00018953,0.00018953,0.00018953
59,19125.3,0.84168,0.80693,1.11873,0.37429,0.16545,0.15576,0.10133,2.14903,2.73584,2.05242,0.000185223,0.000185223,0.000185223
60,19436.6,0.78144,0.77081,1.08677,0.35487,0.1635,0.14668,0.09586,2.13108,2.72594,2.03284,0.000180917,0.000180917,0.000180917
61,19751,0.82712,0.7754,1.11341,0.44492,0.17003,0.14917,0.09367,2.12305,2.70829,2.04944,0.00017661,0.00017661,0.00017661
62,20062.5,0.83149,0.79747,1.12302,0.48866,0.16111,0.15949,0.10001,2.16745,2.71345,2.07118,0.000172304,0.000172304,0.000172304
63,20374.1,0.83641,0.79434,1.11781,0.35052,0.16608,0.15481,0.09768,2.21492,2.8074,2.12073,0.000167997,0.000167997,0.000167997
64,20685.2,0.83414,0.77065,1.11581,0.44049,0.18194,0.1655,0.09208,2.23004,2.7449,2.09096,0.000163691,0.000163691,0.000163691
65,20994.4,0.7838,0.73993,1.09342,0.46354,0.17362,0.15549,0.08764,2.1575,2.76027,2.06766,0.000159384,0.000159384,0.000159384
66,21303.6,0.78163,0.73309,1.08353,0.33988,0.15982,0.14972,0.09512,2.12774,2.83989,2.0103,0.000155078,0.000155078,0.000155078
67,21613.1,0.78966,0.75778,1.1036,0.44053,0.17443,0.15232,0.09974,2.11803,2.79756,2.03902,0.000150771,0.000150771,0.000150771
